arm,lockin,coop,open_coop,proposal,proposal_frac,intention_only_frac,msg_len
L1_signal,0.0,0.3333333333333333,0.3333333333333333,0,0.0,1.0,21.5
L1_signal,0.0,0.029411764705882353,0.16666666666666666,0,0.0,1.0,19.88235294117647
L1_signal,0.0,0.05,0.3333333333333333,0,0.0,1.0,20.05
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.675
L1_signal,0.0,0.275,1.0,0,0.0,1.0,20.725
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,20.575
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.525
L1_signal,0.0,0.07142857142857142,0.16666666666666666,0,0.0,1.0,20.928571428571427
L1_signal,0.0,0.07142857142857142,0.16666666666666666,0,0.0,1.0,21.142857142857142
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,20.275
L1_signal,0.0,0.3333333333333333,0.8333333333333334,0,0.0,1.0,21.75
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.675
L1_signal,0.0,0.1,0.0,0,0.0,1.0,21.7
L2_observed,0.0,0.625,0.6666666666666666,1,1.0,0.0,56.0
L2_observed,0.0,0.75,0.8333333333333334,1,1.0,0.0,56.0
L2_observed,0.0,0.625,0.8333333333333334,1,1.0,0.0,56.0
L2_observed,0.0,0.3,1.0,1,0.75,0.15,147.575
L2_observed,1.0,1.0,1.0,1,1.0,0.0,140.29166666666666
L2_observed,0.0,0.75,1.0,1,1.0,0.0,167.2
L2_observed,1.0,1.0,1.0,1,1.0,0.0,80.0
L2_observed,1.0,0.85,1.0,1,1.0,0.0,164.1
L2_observed,1.0,0.95,1.0,1,1.0,0.0,149.6
L2_observed,1.0,1.0,1.0,1,1.0,0.0,147.7
L2_observed,1.0,1.0,1.0,1,1.0,0.0,109.83333333333333
L2_observed,0.0,0.6764705882352942,0.3333333333333333,1,0.9411764705882353,0.058823529411764705,179.23529411764707
L2_observed,0.0,0.575,1.0,1,1.0,0.0,148.775
L2_observed,0.0,0.05,0.16666666666666666,1,1.0,0.0,144.45
L2_observed,0.0,0.775,1.0,1,1.0,0.0,139.525
L2_observed,1.0,0.95,1.0,1,1.0,0.0,131.375
L2_observed,0.0,0.35,1.0,1,1.0,0.0,136.675
L2_observed,1.0,1.0,1.0,1,1.0,0.0,134.21428571428572
L2_observed,1.0,1.0,1.0,1,1.0,0.0,116.35714285714286
L2_observed,1.0,0.925,1.0,1,1.0,0.0,176.025
L2_observed,0.0,0.6666666666666666,1.0,1,1.0,0.0,156.70833333333334
L2_observed,1.0,1.0,1.0,1,1.0,0.0,138.75
L2_observed,1.0,1.0,1.0,1,1.0,0.0,115.0
L2_observed,1.0,0.8125,0.6666666666666666,1,1.0,0.0,56.0
L2_observed,0.0,0.5625,0.6666666666666666,1,1.0,0.0,56.0
L2_observed,0.0,0.75,0.6666666666666666,1,1.0,0.0,56.0
L2_observed,1.0,0.975,1.0,1,1.0,0.0,193.1
L2_observed,1.0,1.0,1.0,1,1.0,0.0,132.45833333333334
L2_observed,0.0,0.7,1.0,1,1.0,0.0,173.45
L2_observed,1.0,1.0,1.0,1,1.0,0.0,101.5
L2_observed,0.0,0.1,0.16666666666666666,1,0.85,0.125,136.6
L2_observed,0.0,0.4,1.0,1,1.0,0.0,134.425
L2_observed,1.0,0.9,1.0,1,1.0,0.0,146.75
L2_observed,1.0,1.0,1.0,1,1.0,0.0,128.16666666666666
L2_observed,0.0,0.14705882352941177,0.5,1,0.7058823529411765,0.0,149.6764705882353
L2_observed,0.0,0.725,1.0,1,1.0,0.0,163.55
L2_observed,0.0,0.15,0.16666666666666666,1,0.45,0.5,149.7
L2_observed,1.0,0.925,1.0,1,1.0,0.0,147.35
L2_observed,1.0,0.9,1.0,1,1.0,0.0,141.15
L2_observed,0.0,0.45,1.0,1,1.0,0.0,139.35
L2_observed,1.0,1.0,1.0,1,1.0,0.0,106.21428571428571
L2_observed,1.0,1.0,1.0,1,1.0,0.0,146.64285714285714
L2_observed,0.0,0.675,1.0,1,1.0,0.0,166.35
L2_observed,1.0,0.9583333333333334,1.0,1,1.0,0.0,164.25
L2_observed,0.0,0.5,1.0,1,1.0,0.0,151.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,129.4
L3_private,0.0,0.625,0.6666666666666666,1,1.0,0.0,56.0
L3_private,0.0,0.75,0.8333333333333334,1,1.0,0.0,56.0
L3_private,0.0,0.625,0.8333333333333334,1,1.0,0.0,56.0
L3_private,1.0,0.875,1.0,1,1.0,0.0,163.125
L3_private,1.0,0.9583333333333334,1.0,1,1.0,0.0,152.45833333333334
L3_private,1.0,0.95,1.0,1,1.0,0.0,147.925
L3_private,1.0,1.0,1.0,1,1.0,0.0,91.5
L3_private,0.0,0.65,1.0,1,1.0,0.0,143.45
L3_private,1.0,0.975,1.0,1,1.0,0.0,156.925
L3_private,0.0,0.65,1.0,1,1.0,0.0,147.25
L3_private,1.0,1.0,1.0,1,1.0,0.0,122.5
L3_private,0.0,0.7941176470588235,0.3333333333333333,1,0.9705882352941176,0.029411764705882353,165.02941176470588
L3_private,1.0,0.95,1.0,1,1.0,0.0,167.55
L3_private,0.0,0.375,1.0,1,0.925,0.075,155.45
L3_private,0.0,0.125,0.16666666666666666,1,0.45,0.175,166.875
L3_private,0.0,0.675,1.0,1,1.0,0.0,140.4
L3_private,0.0,0.5,1.0,1,1.0,0.0,149.05
L3_private,1.0,0.9285714285714286,1.0,1,1.0,0.0,129.5
L3_private,1.0,0.9285714285714286,1.0,1,1.0,0.0,127.71428571428571
L3_private,0.0,0.7,0.3333333333333333,1,1.0,0.0,179.575
L3_private,0.0,0.625,0.5,1,0.8260869565217391,0.17391304347826086,150.75
L3_private,1.0,0.85,1.0,1,1.0,0.0,145.025
L3_private,1.0,1.0,1.0,1,1.0,0.0,112.5
L3_private,1.0,0.8125,0.6666666666666666,1,1.0,0.0,56.0
L3_private,0.0,0.5625,0.6666666666666666,1,1.0,0.0,56.0
L3_private,0.0,0.75,0.6666666666666666,1,1.0,0.0,56.0
L3_private,0.0,0.8,0.5,1,1.0,0.0,167.45
L3_private,0.0,0.20833333333333334,0.16666666666666666,1,0.9166666666666666,0.0,168.95833333333334
L3_private,1.0,0.9,1.0,1,1.0,0.0,166.475
L3_private,1.0,1.0,1.0,1,1.0,0.0,71.0
L3_private,0.0,0.325,0.5,1,0.975,0.025,175.9
L3_private,0.0,0.25,0.16666666666666666,1,0.975,0.0,146.25
L3_private,1.0,1.0,1.0,1,1.0,0.0,146.55
L3_private,0.0,0.16666666666666666,0.16666666666666666,1,1.0,0.0,115.33333333333333
L3_private,0.0,0.5588235294117647,1.0,1,1.0,0.0,165.11764705882354
L3_private,0.0,0.625,1.0,1,0.975,0.0,165.325
L3_private,0.0,0.075,0.16666666666666666,1,0.775,0.225,185.475
L3_private,0.0,0.25,1.0,1,0.95,0.025,134.825
L3_private,1.0,0.95,1.0,1,1.0,0.0,149.55
L3_private,0.0,0.775,1.0,1,0.975,0.025,170.65
L3_private,1.0,1.0,1.0,1,1.0,0.0,120.0
L3_private,1.0,0.8571428571428571,1.0,1,1.0,0.0,121.42857142857143
L3_private,0.0,0.725,1.0,1,1.0,0.0,159.425
L3_private,1.0,0.9166666666666666,1.0,1,1.0,0.0,148.79166666666666
L3_private,1.0,0.85,0.6666666666666666,1,1.0,0.0,163.575
L3_private,1.0,1.0,1.0,1,1.0,0.0,136.2
L2_observed,1.0,1.0,1.0,1,1.0,0.0,89.5
L2_observed,0.0,0.5,0.5,1,1.0,0.0,65.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,110.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,79.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,92.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,103.5
L2_observed,1.0,1.0,1.0,1,1.0,0.0,88.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,72.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,120.0
L2_observed,1.0,1.0,1.0,1,1.0,0.0,94.0
L2_observed,0.0,0.3611111111111111,0.5,1,0.9444444444444444,0.0,180.25
L2_observed,1.0,0.95,1.0,1,1.0,0.0,139.1
L2_observed,0.0,0.75,1.0,1,0.96875,0.0,140.3125
L2_observed,0.0,0.5909090909090909,1.0,1,0.9090909090909091,0.0,140.45454545454547
L2_observed,0.0,0.6,1.0,1,0.975,0.0,157.85
L2_observed,0.0,0.65,0.8333333333333334,1,1.0,0.0,167.075
L2_observed,0.0,0.1,0.6666666666666666,1,0.7,0.3,162.95
L2_observed,0.0,0.275,1.0,1,1.0,0.0,144.25
L2_observed,0.0,0.21428571428571427,0.5,1,0.9285714285714286,0.07142857142857142,145.14285714285714
L2_observed,1.0,0.875,1.0,1,0.975,0.0,149.625
L0_none,0.0,0.7115384615384616,0.75,0,0.0,0.0,0.0
L0_none,0.0,0.4074074074074074,0.6666666666666666,0,0.0,0.0,0.0
L0_none,0.0,0.34782608695652173,0.75,0,0.0,0.0,0.0
L0_none,0.0,0.2,0.4,0,0.0,0.0,0.0
L0_none,0.0,0.325,0.8333333333333334,0,0.0,0.0,0.0
L0_none,0.0,0.1388888888888889,0.2,0,0.0,0.0,0.0
L0_none,0.0,0.21621621621621623,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.47368421052631576,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.7857142857142857,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.4864864864864865,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.1111111111111111,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.125,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.15625,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.13636363636363635,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.25,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.65,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.175,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.25,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.2857142857142857,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.075,0.16666666666666666,0,0.0,0.0,0.0
L0_none,1.0,1.0,1.0,0,0.0,0.0,0.0
L0_none,1.0,0.875,1.0,0,0.0,0.0,0.0
L0_none,1.0,0.925,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.5,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.625,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.8,1.0,0,0.0,0.0,0.0
L0_none,1.0,1.0,1.0,0,0.0,0.0,0.0
L0_none,1.0,1.0,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.47058823529411764,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.15,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.25,0.8333333333333334,0,0.0,0.0,0.0
L0_none,0.0,0.575,1.0,0,0.0,0.0,0.0
L0_none,1.0,1.0,1.0,0,0.0,0.0,0.0
