cell_id,seed,expressiveness,throughput,observability,C,api_err,lockin
P3/free/once/private/self_local_14,702,free,once,private,0.8846153846153846,0.0,1.0
P3/free/once/private/self_local_14,703,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,704,free,once,private,0.9,0.0,1.0
P3/free/once/private/self_local_14,705,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,706,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,707,free,once,private,0.825,0.0,1.0
P3/free/once/private/self_local_14,708,free,once,private,0.5,0.0,0.0
P3/free/once/private/self_local_14,709,free,once,private,0.8,0.0,0.0
P3/free/once/private/self_local_14,710,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,711,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,712,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,713,free,once,private,0.8571428571428571,0.0,1.0
P3/free/once/private/self_local_14,714,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,715,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,716,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,717,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,718,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,719,free,once,private,0.475,0.0,0.0
P3/free/once/private/self_local_14,720,free,once,private,1.0,0.0,1.0
P3/free/once/private/self_local_14,721,free,once,private,0.6666666666666666,0.0,0.0
P3/free/once/private/self_local_14,722,free,once,private,0.2222222222222222,0.0,0.0
P3/free/once/private/self_local_14,723,free,once,private,0.25,0.0,0.0
P3/intention/every/observed/self_local_14,700,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,701,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,702,intention,every,observed,0.6538461538461539,0.0,0.0
P3/intention/every/observed/self_local_14,703,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,704,intention,every,observed,0.375,0.0,0.0
P3/intention/every/observed/self_local_14,705,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,706,intention,every,observed,0.525,0.0,0.0
P3/intention/every/observed/self_local_14,707,intention,every,observed,0.075,0.0,0.0
P3/intention/every/observed/self_local_14,708,intention,every,observed,0.55,0.0,0.0
P3/intention/every/observed/self_local_14,709,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,710,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,711,intention,every,observed,0.475,0.0,0.0
P3/intention/every/observed/self_local_14,712,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,713,intention,every,observed,0.10714285714285714,0.0,0.0
P3/intention/every/observed/self_local_14,714,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,715,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,716,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,717,intention,every,observed,0.625,0.0,0.0
P3/intention/every/observed/self_local_14,718,intention,every,observed,0.1,0.0,0.0
P3/intention/every/observed/self_local_14,719,intention,every,observed,1.0,0.0,1.0
P3/intention/every/observed/self_local_14,720,intention,every,observed,0.38461538461538464,0.0,0.0
P3/intention/every/observed/self_local_14,721,intention,every,observed,0.5833333333333334,0.0,0.0
P3/intention/every/observed/self_local_14,722,intention,every,observed,0.6111111111111112,0.0,0.0
P3/intention/every/observed/self_local_14,723,intention,every,observed,1.0,0.0,1.0
P3/intention/every/private/self_local_14,700,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,701,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,702,intention,every,private,0.07692307692307693,0.0,0.0
P3/intention/every/private/self_local_14,703,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,704,intention,every,private,0.525,0.0,0.0
P3/intention/every/private/self_local_14,705,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,706,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,707,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,708,intention,every,private,0.275,0.0,0.0
P3/intention/every/private/self_local_14,709,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,710,intention,every,private,0.525,0.0,0.0
P3/intention/every/private/self_local_14,711,intention,every,private,0.625,0.0,0.0
P3/intention/every/private/self_local_14,712,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,713,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,714,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,715,intention,every,private,0.0625,0.0,0.0
P3/intention/every/private/self_local_14,716,intention,every,private,0.075,0.0,0.0
P3/intention/every/private/self_local_14,717,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,718,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,719,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,720,intention,every,private,0.7307692307692307,0.0,0.0
P3/intention/every/private/self_local_14,721,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,722,intention,every,private,1.0,0.0,1.0
P3/intention/every/private/self_local_14,723,intention,every,private,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,700,intention,once,observed,0.85,0.0,1.0
P3/intention/once/observed/self_local_14,701,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,702,intention,once,observed,0.7692307692307693,0.0,0.0
P3/intention/once/observed/self_local_14,703,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,704,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,705,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,706,intention,once,observed,0.875,0.0,1.0
P3/intention/once/observed/self_local_14,707,intention,once,observed,0.8,0.0,0.0
P3/intention/once/observed/self_local_14,708,intention,once,observed,0.75,0.0,0.0
P3/intention/once/observed/self_local_14,709,intention,once,observed,0.15,0.0,0.0
P3/intention/once/observed/self_local_14,710,intention,once,observed,0.275,0.0,0.0
P3/intention/once/observed/self_local_14,711,intention,once,observed,0.575,0.0,0.0
P3/intention/once/observed/self_local_14,712,intention,once,observed,0.8,0.0,0.0
P3/intention/once/observed/self_local_14,713,intention,once,observed,0.75,0.0,0.0
P3/intention/once/observed/self_local_14,714,intention,once,observed,0.7857142857142857,0.0,0.0
P3/intention/once/observed/self_local_14,715,intention,once,observed,0.59375,0.0,0.0
P3/intention/once/observed/self_local_14,716,intention,once,observed,0.525,0.0,0.0
P3/intention/once/observed/self_local_14,717,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,718,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,719,intention,once,observed,0.85,0.0,1.0
P3/intention/once/observed/self_local_14,720,intention,once,observed,0.5769230769230769,0.0,0.0
P3/intention/once/observed/self_local_14,721,intention,once,observed,0.75,0.0,0.0
P3/intention/once/observed/self_local_14,722,intention,once,observed,1.0,0.0,1.0
P3/intention/once/observed/self_local_14,723,intention,once,observed,0.4,0.0,0.0
P3/intention/once/private/self_local_14,700,intention,once,private,0.775,0.0,0.0
P3/intention/once/private/self_local_14,701,intention,once,private,0.8571428571428571,0.0,1.0
P3/intention/once/private/self_local_14,702,intention,once,private,0.11538461538461539,0.0,0.0
P3/intention/once/private/self_local_14,703,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,704,intention,once,private,0.875,0.0,1.0
P3/intention/once/private/self_local_14,705,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,706,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,707,intention,once,private,0.225,0.0,0.0
P3/intention/once/private/self_local_14,708,intention,once,private,0.975,0.0,1.0
P3/intention/once/private/self_local_14,709,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,710,intention,once,private,0.625,0.0,0.0
P3/intention/once/private/self_local_14,711,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,712,intention,once,private,0.65,0.0,0.0
P3/intention/once/private/self_local_14,713,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,714,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,715,intention,once,private,0.4375,0.0,0.0
P3/intention/once/private/self_local_14,716,intention,once,private,0.8,0.0,0.0
P3/intention/once/private/self_local_14,717,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,718,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,719,intention,once,private,0.55,0.0,0.0
