experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,0,15,,,0,0.26530612244897955,0.14285714285714285,1,,,0.0,0.0,0.0,30,18.166666666666668,0.2975340687865023,0.4411764705882353,0.33333333333333337
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,1,15,,,0,0.5999999999999999,0.3857142857142857,1,,,0.0,0.0,0.0,30,18.633333333333333,0.19755469755469757,0.6559139784946236,0.5906642728904847
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,2,15,,,0,0.3999999999999999,0.2571428571428571,1,,,0.0,0.0,0.0,30,16.366666666666667,0.2449712643678161,0.5183673469387755,0.4253578732106339
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,3,15,,,0,0.26530612244897955,0.15714285714285714,1,,,0.0,0.0,0.0,30,19.933333333333334,0.21708083404741502,0.5896147403685092,0.47986577181208057
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,4,15,,,0,0.0,0.07142857142857142,1,,,0.0,0.0,0.0,30,16.433333333333334,0.29495888451912766,0.44308943089430897,0.329938900203666
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,5,15,,,0,0.4897959183673468,0.2857142857142857,1,,,0.0,0.0,0.0,30,19.5,0.2821279139270771,0.4726027397260274,0.3550600343053173
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,6,15,,,0,0.4897959183673468,0.2857142857142857,1,,,0.0,0.0,0.0,30,17.7,0.23601456471367097,0.560377358490566,0.4593572778827977
B6,B6/none/L2_observed/cross_origin,L2_observed,bertrand,canonical,7,15,,,0,0.9183673469387753,0.7142857142857143,1,,,,0.03333333333333333,0.0,30,15.566666666666666,0.22406340057636887,0.5772532188841202,0.4795698924731183
B6,B6/stated/L2_observed/cross_origin,L2_observed,bertrand,canonical,0,15,,,0,0.857142857142857,0.6714285714285715,1,,,0.0,0.0,0.0,30,14.466666666666667,0.19157088122605365,0.6697459584295612,0.599537037037037
B6,B6/stated/L2_observed/cross_origin,L2_observed,bertrand,canonical,1,15,,,0,0.6734693877551019,0.42857142857142855,1,,,0.0,0.0,0.0,30,16.033333333333335,0.1869009584664537,0.6270833333333333,0.5594989561586639
B6,B6/stated/L2_observed/cross_origin,L2_observed,bertrand,canonical,2,15,,,0,0.7306122448979591,0.5142857142857142,1,,,0.0,0.0,0.0,30,18.9,0.25075528700906347,0.5088339222614842,0.35044247787610616
B6,B6/stated/L2_observed/cross_origin,L2_observed,bertrand,canonical,3,15,,,0,0.9795918367346939,0.9285714285714286,1,,,0.0,0.0,0.0,30,16.933333333333334,0.26126126126126126,0.49112426035502954,0.3458498023715415
B6,B6/stated/L2_observed/cross_origin,L2_observed,bertrand,canonical,4,15,,,0,0.6734693877551019,0.42857142857142855,1,,,0.0,0.0,0.0,28,16.071428571428573,0.2553272450532725,0.532293986636971,0.4151785714285714
